period,cohort,cohort_month,origin,family,model_id,model_name,representation,probability_type,probability_variant,calibration_method,n_train,train_order_id_sha256,fitted_model_sha256,model_hash_type,n_orders,n_events,prevalence,log_loss,brier,average_precision,roc_auc,top_5pct_lift,top_10pct_lift,top_10pct_recall,calibration_intercept,calibration_slope,wace,calibration_invalid_reason,order_id_sha256,model_family,specification,n_obs,brier_score,top10_lift,comparison,reference_model,reference_specification,representation_evidence,later_month_count,primary_evidence_available,median_delta_log_loss,median_delta_brier,both_improved_month_count,high_support_guard_available,high_support_median_delta_log_loss,high_support_median_delta_brier,high_support_material_reversal,high_support_no_material_reversal,calibration_guard_available,median_delta_wace,median_delta_absolute_calibration_slope_error,calibration_not_systematically_worse,calibration_systematically_worse,score_guard_available,score_only_median_delta_log_loss,full_beats_metadata_log_loss,full_no_metadata_brier_worsening,score_contributes,benefit_not_metadata_only,all_guards_available,all_guards_pass,evidence_status,evidence_label,evidence_reason,delta_log_loss,delta_brier,delta_brier_score,delta_average_precision,delta_roc_auc,delta_top_10pct_lift,delta_top10_lift,delta_calibration_intercept,delta_calibration_slope,delta_log_loss_lower,delta_log_loss_upper,delta_brier_lower,delta_brier_upper,constituent_fitted_model_count,record_type,bin,n,positives,mean_probability,min_probability,max_probability,absolute_calibration_error,weight
aggregate,later_pooled,later_pooled,,random_forest,DPB,Promise + both profile blocks,full,calibrated,calibrated,none,,multiple_expanding_training_sets,32c847b94a671322008fae617a2dc599fc8d605ec052fb87bda53c5557c09304,composite_fitted_models,40270,3477,0.086342190216,0.300663170305,0.078852735611,0.128788655292,0.611541150855,1.95522341596,1.94995685936,0.194995685936,-1.197023235,0.411367273669,0.0250898225694,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,random_forest,DPB,40270,0.078852735611,1.94995685936,DPB-DP0,DP0,DP0,full,6,True,-0.00761967829778,5.80000102071e-05,3,True,-0.00518208294536,0.000447151509348,False,True,True,0.00534103213212,-8.50749596363,False,True,True,-0.0562746959884,True,True,True,True,True,False,Not-supported,Not-supported,nonimproving_median_or_at_most_two_both_improved_months,-0.0181966326597,-0.0024517019013,-0.0024517019013,0.0406928071485,0.0960061826668,0.960598216854,0.960598216854,-2.67217902392,-0.766869322571,-0.0352377074578,-0.00139813419025,-0.00519978045255,0.000347509858714,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,random_forest,DPB,Promise + both profile blocks,full,raw,raw,none,,multiple_expanding_training_sets,32c847b94a671322008fae617a2dc599fc8d605ec052fb87bda53c5557c09304,composite_fitted_models,40270,3477,0.086342190216,0.300663170305,0.078852735611,0.128788655292,0.611541150855,1.95522341596,1.94995685936,0.194995685936,-1.197023235,0.411367273669,0.0250898225694,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,random_forest,DPB,40270,0.078852735611,1.94995685936,DPB-DP0,DP0,DP0,full,6,True,-0.00761967829778,5.80000102071e-05,3,True,-0.00518208294536,0.000447151509348,False,True,True,0.00534103213212,-8.50749596363,False,True,True,-0.0562746959884,True,True,True,True,True,False,Not-supported,Not-supported,nonimproving_median_or_at_most_two_both_improved_months,-0.0181966326597,-0.0024517019013,-0.0024517019013,0.0406928071485,0.0960061826668,0.960598216854,0.960598216854,-2.67217902392,-0.766869322571,-0.0352377074578,-0.00139813419025,-0.00519978045255,0.000347509858714,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,random_forest,DPG,Promise + geographic profiles,full,calibrated,calibrated,platt,,multiple_expanding_training_sets,b45c9e9b6f65bef79b549f86eb90263f835b89a1edf4c723b4f6ceb6a16daf08,composite_fitted_models,40270,3477,0.086342190216,0.304751374502,0.0799862367241,0.123315567493,0.573253878173,2.07023655807,1.94420477423,0.194420477423,0.501684463431,0.953329698119,0.0387568721342,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,random_forest,DPG,40270,0.0799862367241,1.94420477423,DPG-DP0,DP0,DP0,full,6,True,-0.0110668832408,-0.00105165332621,5,True,-0.0104286141287,-0.000999966712794,False,True,True,-0.00195513110765,-8.56486680715,True,False,True,-0.0551472055044,True,True,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass,-0.0141084284625,-0.0013182007882,-0.0013182007882,0.0352197193502,0.0577189099842,0.954846131723,0.954846131723,-0.973471325485,-0.224906898122,-0.0216723427846,-0.00688106464371,-0.00202659518356,-0.000647916151355,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,random_forest,DPG,Promise + geographic profiles,full,raw,raw,none,,multiple_expanding_training_sets,b45c9e9b6f65bef79b549f86eb90263f835b89a1edf4c723b4f6ceb6a16daf08,composite_fitted_models,40270,3477,0.086342190216,0.321075521606,0.0798344969526,0.123315567493,0.573253874264,2.07023655807,1.94420477423,0.194420477423,-1.6696261941,0.22211879774,0.0336289962638,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,random_forest,DPG,40270,0.0798344969526,1.94420477423,DPG-DP0,DP0,DP0,full,6,True,-0.0110668832408,-0.00105165332621,5,True,-0.0104286141287,-0.000999966712794,False,True,True,-0.00195513110765,-8.56486680715,True,False,True,-0.0551472055044,True,True,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass,-0.0141084284625,-0.0013182007882,-0.0013182007882,0.0352197193502,0.0577189099842,0.954846131723,0.954846131723,-0.973471325485,-0.224906898122,-0.0216723427846,-0.00688106464371,-0.00202659518356,-0.000647916151355,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,random_forest,DPS,Promise + seller profiles,full,calibrated,calibrated,none,,multiple_expanding_training_sets,8e91ff794c03da87a783ef4cdb2a9178602aadc1d016ce16af512c79d3c89edd,composite_fitted_models,40270,3477,0.086342190216,0.317942125374,0.081074806668,0.0862769237462,0.497147685392,0.98911302219,1.00373885534,0.100373885534,-2.38871936098,-0.00983431778504,0.0409546959146,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,random_forest,DPS,40270,0.081074806668,1.00373885534,DPS-DP0,DP0,DP0,full,6,True,0.00193643020825,0.000363597265665,2,True,0.00279488490392,0.00067073538573,True,False,True,0.00251409493846,-8.07063120161,True,False,True,-0.0428921492894,True,True,True,True,True,False,Not-supported,Not-supported,nonimproving_median_or_at_most_two_both_improved_months,-0.000917677591155,-0.000229630844316,-0.000229630844316,-0.00181892439675,-0.0183872827969,0.0143802128271,0.0143802128271,-3.8638751499,-1.18807091403,-0.007096546737,0.00510702588493,-0.00118318069469,0.000679530507824,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,random_forest,DPS,Promise + seller profiles,full,raw,raw,none,,multiple_expanding_training_sets,8e91ff794c03da87a783ef4cdb2a9178602aadc1d016ce16af512c79d3c89edd,composite_fitted_models,40270,3477,0.086342190216,0.317942125374,0.081074806668,0.0862769237462,0.497147685392,0.98911302219,1.00373885534,0.100373885534,-2.38871936098,-0.00983431778504,0.0409546959146,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,random_forest,DPS,40270,0.081074806668,1.00373885534,DPS-DP0,DP0,DP0,full,6,True,0.00193643020825,0.000363597265665,2,True,0.00279488490392,0.00067073538573,True,False,True,0.00251409493846,-8.07063120161,True,False,True,-0.0428921492894,True,True,True,True,True,False,Not-supported,Not-supported,nonimproving_median_or_at_most_two_both_improved_months,-0.000917677591155,-0.000229630844316,-0.000229630844316,-0.00181892439675,-0.0183872827969,0.0143802128271,0.0143802128271,-3.8638751499,-1.18807091403,-0.007096546737,0.00510702588493,-0.00118318069469,0.000679530507824,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,xgboost,DP0,Direct promise baseline,full,calibrated,calibrated,none,,multiple_expanding_training_sets,1551d46f8013fa51d59d2a3700a7271e8a7f547edb28048a2a130c335b83da0c,composite_fitted_models,40270,3477,0.086342190216,0.307071703871,0.0804143077507,0.0768114593005,0.432285542555,1.02936762193,0.865688812194,0.0865688812194,-6.88084934068,-1.60610685788,0.0513784208897,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,xgboost,DP0,40270,0.0804143077507,0.865688812194,DP0_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,Reference,Reference,,,,,,,,,,,,,,,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,xgboost,DP0,Direct promise baseline,full,raw,raw,none,,multiple_expanding_training_sets,1551d46f8013fa51d59d2a3700a7271e8a7f547edb28048a2a130c335b83da0c,composite_fitted_models,40270,3477,0.086342190216,0.307071703871,0.0804143077507,0.0768114593005,0.432285542555,1.02936762193,0.865688812194,0.0865688812194,-6.88084934068,-1.60610685788,0.0513784208897,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,xgboost,DP0,40270,0.0804143077507,0.865688812194,DP0_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,Reference,Reference,,,,,,,,,,,,,,,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,xgboost,DPB,Promise + both profile blocks,full,calibrated,calibrated,none,,multiple_expanding_training_sets,1d75b230f0d829aa3a60afc915ee561f2fcceba15ba578d35551191292494b44,composite_fitted_models,40270,3477,0.086342190216,0.304429684579,0.0801212373071,0.0853812412645,0.458842105717,1.41466164802,0.949094046592,0.0949094046592,-4.5582789391,-0.793010599891,0.0556371044691,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,xgboost,DPB,40270,0.0801212373071,0.949094046592,DPB-DP0,DP0,DP0,full,6,True,-0.00229967244447,-0.000293696109202,5,True,-0.0021127497292,-0.000266410356161,False,True,True,0.00431574578376,2.43431455748,False,True,True,-0.00345421615059,True,True,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed,-0.00264201929194,-0.000293070443649,-0.000293070443649,0.008569781964,0.0265565631619,0.0834052343975,0.0834052343975,2.32257040157,0.81309625799,-0.00409883273241,-0.00136321460318,-0.000462650853345,-0.000151374321176,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,xgboost,DPB,Promise + both profile blocks,full,raw,raw,none,,multiple_expanding_training_sets,1d75b230f0d829aa3a60afc915ee561f2fcceba15ba578d35551191292494b44,composite_fitted_models,40270,3477,0.086342190216,0.304429684579,0.0801212373071,0.0853812412645,0.458842105717,1.41466164802,0.949094046592,0.0949094046592,-4.5582789391,-0.793010599891,0.0556371044691,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,xgboost,DPB,40270,0.0801212373071,0.949094046592,DPB-DP0,DP0,DP0,full,6,True,-0.00229967244447,-0.000293696109202,5,True,-0.0021127497292,-0.000266410356161,False,True,True,0.00431574578376,2.43431455748,False,True,True,-0.00345421615059,True,True,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed,-0.00264201929194,-0.000293070443649,-0.000293070443649,0.008569781964,0.0265565631619,0.0834052343975,0.0834052343975,2.32257040157,0.81309625799,-0.00409883273241,-0.00136321460318,-0.000462650853345,-0.000151374321176,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,xgboost,DPG,Promise + geographic profiles,full,calibrated,calibrated,none,,multiple_expanding_training_sets,5ce52ead9ab04983efd74f8ba66512b8fdef2d522452ab511fe12739c559cce7,composite_fitted_models,40270,3477,0.086342190216,0.304988122182,0.0801793172495,0.084987215555,0.453608475077,1.34565376275,1.07563991947,0.107563991947,-4.72703849088,-0.849217409352,0.0574403522764,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,xgboost,DPG,40270,0.0801793172495,1.07563991947,DPG-DP0,DP0,DP0,full,6,True,-0.00197620878246,-0.00026123594082,5,True,-0.00209210496204,-0.000278590971538,False,True,True,0.00361843907148,0.978250023739,False,True,True,-0.00240607535493,False,False,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed,-0.00208358168925,-0.000234990501204,-0.000234990501204,0.00817575625456,0.0213229325228,0.209951107276,0.209951107276,2.15381084979,0.75688944853,-0.00301524581808,-0.00128256206664,-0.000341513491146,-0.000134419986147,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,xgboost,DPG,Promise + geographic profiles,full,raw,raw,none,,multiple_expanding_training_sets,5ce52ead9ab04983efd74f8ba66512b8fdef2d522452ab511fe12739c559cce7,composite_fitted_models,40270,3477,0.086342190216,0.304988122182,0.0801793172495,0.084987215555,0.453608475077,1.34565376275,1.07563991947,0.107563991947,-4.72703849088,-0.849217409352,0.0574403522764,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,xgboost,DPG,40270,0.0801793172495,1.07563991947,DPG-DP0,DP0,DP0,full,6,True,-0.00197620878246,-0.00026123594082,5,True,-0.00209210496204,-0.000278590971538,False,True,True,0.00361843907148,0.978250023739,False,True,True,-0.00240607535493,False,False,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed,-0.00208358168925,-0.000234990501204,-0.000234990501204,0.00817575625456,0.0213229325228,0.209951107276,0.209951107276,2.15381084979,0.75688944853,-0.00301524581808,-0.00128256206664,-0.000341513491146,-0.000134419986147,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,xgboost,DPS,Promise + seller profiles,full,calibrated,calibrated,none,,multiple_expanding_training_sets,dff34e173d81f155fba985cacc0d6b5d712930afd91036e0f51d2d000e39cb1f,composite_fitted_models,40270,3477,0.086342190216,0.30682243679,0.0803892473253,0.0711296009739,0.420476887614,0.770588052171,0.675870002876,0.0675870002876,-6.82124472026,-1.58735578384,0.0503459161882,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,xgboost,DPS,40270,0.0803892473253,0.675870002876,DPS-DP0,DP0,DP0,full,6,True,-0.000144657998041,-1.96016143433e-05,5,True,-9.00338311444e-05,-1.56794437653e-05,False,True,True,-0.000743503690553,-2.55850693217,True,False,True,-0.000359882171151,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass,-0.000249267081702,-2.50604254213e-05,-2.50604254213e-05,-0.0056818583266,-0.011808654941,-0.189818809318,-0.189818809318,0.0596046204128,0.0187510740453,-0.0005944880424,5.34926038726e-05,-6.40502803776e-05,8.66950236262e-06,6,model_metric,,,,,,,,
aggregate,later_pooled,later_pooled,,xgboost,DPS,Promise + seller profiles,full,raw,raw,none,,multiple_expanding_training_sets,dff34e173d81f155fba985cacc0d6b5d712930afd91036e0f51d2d000e39cb1f,composite_fitted_models,40270,3477,0.086342190216,0.30682243679,0.0803892473253,0.0711296009739,0.420476887614,0.770588052171,0.675870002876,0.0675870002876,-6.82124472026,-1.58735578384,0.0503459161882,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,xgboost,DPS,40270,0.0803892473253,0.675870002876,DPS-DP0,DP0,DP0,full,6,True,-0.000144657998041,-1.96016143433e-05,5,True,-9.00338311444e-05,-1.56794437653e-05,False,True,True,-0.000743503690553,-2.55850693217,True,False,True,-0.000359882171151,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass,-0.000249267081702,-2.50604254213e-05,-2.50604254213e-05,-0.0056818583266,-0.011808654941,-0.189818809318,-0.189818809318,0.0596046204128,0.0187510740453,-0.0005944880424,5.34926038726e-05,-6.40502803776e-05,8.66950236262e-06,6,model_metric,,,,,,,,
later,2018-01,2018-01,2018-01-01,logistic_l2,DP0,Direct promise baseline,full,calibrated,calibrated,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.223246686157,0.054136770414,0.0508291207197,0.475224073276,0.594608234849,0.645070036958,0.0645161290323,-3.51670146207,-0.224002812737,0.0239037354081,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DP0,7069,0.054136770414,0.645070036958,DP0_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,Reference,Reference,,,,,,,,,,,,,,,,model_metric,,,,,,,,
later,2018-01,2018-01,2018-01-01,logistic_l2,DP0,Direct promise baseline,full,raw,raw,none,35981,96cab33fe9aa2c645b95d864cd8ad73f21f028817e839c487b423b134b3104f9,46675fb422177ee9b1dd69df4d376e1fe67a3a99808c8cc426182a494de07334,sha256_pickle_protocol_5_fitted_wrapper,7069,403,0.0570094780025,0.223246686157,0.054136770414,0.0508291207197,0.475224073276,0.594608234849,0.645070036958,0.0645161290323,-3.51670146207,-0.224002812737,0.0239037354081,,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,logistic_l2,DP0,7069,0.054136770414,0.645070036958,DP0_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,Reference,Reference,,,,,,,,,,,,,,,,model_metric,,,,,,,,
